States/UTs,Number of Road Accidents - Total - 2006,Number of Road Accidents - Total - 2007,Number of Road Accidents - Total - 2008,Number of Road Accidents - Total - 2009,Number of Road Accidents - Total - 2010,Number of Road Accidents - Total - 2011,Number of Road Accidents - Total - 2012,Number of Road Accidents - Total - 2013,Number of Road Accidents - Total - 2014,Number of Road Accidents - Total - 2015,Number of Road Accidents - other objects - Total - 2016,Number of Road Accidents - Fatal - 2006,Number of Road Accidents - Fatal - 2007,Number of Road Accidents - Fatal - 2008,Number of Road Accidents - Fatal - 2009,Number of Road Accidents - Fatal - 2010,Number of Road Accidents - Fatal - 2011,Number of Road Accidents - Fatal - 2012,Number of Road Accidents - Fatal - 2013,Number of Road Accidents - Fatal - 2014,Number of Road Accidents - Fatal - 2015,Number of Road Accidents - other objects - Fatal - 2016,Number of Persons - Killed - 2006,Number of Persons - Killed - 2007,Number of Persons - Killed - 2008,Number of Persons - Killed - 2009,Number of Persons - Killed - 2010,Number of Persons - Killed - 2011,Number of Persons - Killed - 2012,Number of Persons - Killed - 2013,Number of Persons - Killed - 2014,Number of Persons - Killed - 2015,Number of Persons - other objects - Killed - 2016,Number of Persons - Injured - 2006,Number of Persons - Injured - 2007,Number of Persons - Injured - 2008,Number of Persons - Injured - 2009,Number of Persons - Injured - 2010,Number of Persons - Injured - 2011,Number of Persons - Injured - 2012,Number of Persons - Injured - 2013,Number of Persons - Injured - 2014,Number of Persons - Injured - 2015,Number of Persons - other objects - Greviously Injured - 2016,Number of Persons - other objects - Minor Injured - 2016
Andhra Pradesh,868,1574,3091,1676,2245,4468,2049,2056,1279,803,1049,232,476,895,381,678,1352,719,702,466,305,370,109,397,956,595,690,1434,784,925,884,343,400,894,7479,4199,2107,1996,5353,3184,1520,1289,868,206,945
Arunachal Pradesh,2,11,0,0,0,10,41,20,55,66,1,2,2,0,0,0,2,25,8,27,36,1,0,2,0,0,5,2,13,6,33,36,1,0,8,0,0,29,8,17,18,58,90,2,0
Assam,475,328,258,236,262,284,351,201,249,259,120,199,153,128,113,108,101,145,69,73,61,44,195,143,119,109,123,123,157,78,93,63,48,298,203,117,83,179,185,240,198,218,220,90,25
Bihar,53,620,278,836,442,779,809,887,1577,1206,555,18,254,133,217,222,337,356,415,614,450,299,27,299,95,228,258,372,388,442,690,570,344,38,446,140,556,239,412,411,522,1165,978,185,125
Chhattisgarh,282,164,597,253,309,424,502,519,515,329,280,51,52,115,78,78,78,116,121,142,96,79,49,54,125,87,73,78,146,127,154,101,97,236,177,552,185,266,416,448,318,438,231,53,155
Goa,560,478,591,564,530,342,250,236,242,206,102,60,63,71,55,35,49,27,37,35,32,23,61,69,73,55,40,49,28,37,35,32,23,373,393,372,328,292,171,133,115,109,99,20,42
Gujarat,3309,3519,4234,3934,4164,3986,3969,4103,3163,3102,1638,701,719,759,746,867,877,909,1046,917,905,630,732,756,803,790,919,891,1006,1082,989,940,650,3495,3408,4153,3640,3933,3564,3713,3395,2562,2443,569,468
Haryana,957,1609,1719,1854,1676,1657,1295,1541,1644,1875,466,355,612,654,714,687,729,585,633,687,791,177,441,604,640,689,735,758,652,685,708,876,179,463,973,1085,1038,900,822,724,646,570,1393,92,344
Himachal Pradesh,207,238,3,15,232,11,19,21,1,0,728,54,65,3,3,60,4,5,6,0,0,195,69,105,3,3,81,4,6,6,0,0,207,317,444,3,21,267,11,18,16,1,0,236,512
Jammu & Kashmir,0,0,1,35,2,209,341,107,66,68,0,0,0,1,7,1,23,22,6,10,8,0,0,0,1,10,1,24,31,18,9,6,0,0,0,0,49,2,161,814,661,450,470,0,0
Jharkhand,279,655,102,467,529,622,698,775,443,215,365,88,236,42,198,218,262,284,370,203,91,100,91,240,47,257,216,254,305,382,204,100,534,225,478,55,450,401,426,535,543,266,200,156,309
Karnataka,910,1397,1376,1488,924,4124,4111,1513,5060,3723,1099,241,290,266,302,314,817,855,339,959,935,243,245,356,289,325,340,888,917,378,796,1018,252,898,2415,1705,1981,983,4662,4592,2050,4335,4115,471,688
Kerala,508,203,165,152,124,63,32,9,0,0,14,30,15,21,25,28,17,9,3,0,0,0,32,15,21,25,28,17,9,3,0,0,0,553,196,152,142,108,46,22,6,0,0,8,5
Madhya Pradesh,808,538,1717,544,925,2033,1492,573,781,884,1580,60,58,210,77,118,436,164,91,147,215,408,63,60,213,97,126,297,204,110,63,96,466,693,509,1584,479,866,4235,1774,489,598,684,242,1535
Maharashtra,4232,3233,5802,5699,4768,3469,3392,3196,3409,3770,4132,1130,656,1608,1606,894,987,1021,953,1145,1214,1445,1591,923,2017,2009,960,1364,1390,1250,1589,1591,1505,4468,4063,6480,6519,3412,3449,3310,3138,3088,3256,2031,1172
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,21,24,24,75,46,75,40,42,64,200,27,13,16,16,15,26,16,11,14,17,47,13,19,17,17,19,28,21,14,17,20,29,0,20,13,13,75,26,48,34,39,38,117,9,3
Mizoram,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
Nagaland,6,134,7,12,0,0,0,0,0,6,0,1,27,6,8,0,0,0,0,0,3,0,1,27,0,11,0,0,0,0,0,2,0,15,133,8,2,0,0,0,0,0,4,0,0
Odisha,325,339,275,360,613,499,504,436,397,186,348,112,129,123,137,206,148,215,180,156,76,129,127,152,135,157,237,187,190,189,156,86,168,374,537,313,373,679,523,535,371,358,219,146,130
Punjab,347,195,387,235,234,505,337,555,362,432,372,208,126,215,158,166,358,245,406,277,325,252,228,147,242,180,149,378,282,426,312,348,286,238,175,396,389,94,218,142,251,141,177,119,50
Rajasthan,1589,787,19,1,36,93,50,17,15,1,642,486,218,4,1,11,43,24,6,10,1,301,569,264,5,1,15,45,27,8,11,1,343,1831,1115,26,0,72,80,33,28,10,0,130,407
Sikkim,0,0,0,6,0,18,0,0,1,4,36,0,0,0,1,0,2,0,0,1,4,9,0,0,0,1,0,6,0,0,1,6,10,0,0,0,5,0,15,0,0,0,0,10,32
Tamil Nadu,6322,4069,14077,13563,6316,7129,4744,2496,3702,1710,188,348,410,2765,2835,1393,1943,1815,903,899,692,63,348,426,2789,3294,1548,1831,1868,1203,929,703,654,5625,4631,14399,15667,6805,7721,4461,2856,3387,1071,257,3001
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,1514,809,1728,NA,NA,NA,NA,NA,NA,NA,NA,383,275,609,NA,NA,NA,NA,NA,NA,NA,NA,415,278,690,NA,NA,NA,NA,NA,NA,NA,NA,1810,609,143,1284
Tripura,3,0,3,23,85,50,51,37,48,34,23,1,0,0,5,25,14,16,13,14,15,6,1,0,0,5,26,17,17,13,15,15,6,2,0,2,29,133,53,43,29,45,31,26,1
Uttarakhand,11,13,22,18,3,21,13,9,31,10,42,10,7,7,7,3,9,10,4,16,3,19,10,8,9,8,3,11,4,5,10,3,21,2,18,40,14,1,51,1,17,26,8,7,3
Uttar Pradesh,1612,1261,3308,3851,3892,4279,5195,4660,3991,1974,984,753,573,1549,1749,1895,1806,2421,2003,1660,871,393,861,707,1890,2192,2353,4327,2963,2753,2202,1141,597,1203,836,2546,2944,2857,2337,4034,3570,3029,1507,562,331
West Bengal,355,239,956,711,2472,943,913,1023,996,853,409,170,74,493,313,543,390,371,385,491,383,181,140,447,346,383,672,420,438,408,563,416,211,735,153,607,612,2166,860,947,1443,1119,821,224,73
